customerID,SeniorCitizen,tenure,MonthlyCharges,TotalCharges,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn_Yes,tenure_bucket,charge_bucket,contract_type,segment_rule,kmeans_cluster
9305-CDSKC,0,8,99.65,820.5,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True,New (<=12),High,Month-to-month,New (<=12) | High | Month-to-month,1
7892-POOKP,0,28,104.8,3046.05,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,Established (13-36),High,Month-to-month,Established (13-36) | High | Month-to-month,1
0280-XJGEX,0,49,103.7,5036.3,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,Loyal (>36),High,Month-to-month,Loyal (>36) | High | Month-to-month,2
5129-JLPIS,0,25,105.5,2686.05,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,Established (13-36),High,Month-to-month,Established (13-36) | High | Month-to-month,1
4183-MYFRB,0,21,90.05,1862.9,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,Established (13-36),High,Month-to-month,Established (13-36) | High | Month-to-month,1
6467-CHFZW,0,47,99.35,4749.15,True,True,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,Loyal (>36),High,Month-to-month,Loyal (>36) | High | Month-to-month,2
4929-XIHVW,1,2,95.5,181.65,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,New (<=12),High,Month-to-month,New (<=12) | High | Month-to-month,4
5380-WJKOV,0,34,106.35,3549.25,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True,Established (13-36),High,Month-to-month,Established (13-36) | High | Month-to-month,1
8168-UQWWF,0,11,97.85,1105.4,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,New (<=12),High,Month-to-month,New (<=12) | High | Month-to-month,4
3714-NTNFO,0,49,84.5,3906.7,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,Loyal (>36),High,Month-to-month,Loyal (>36) | High | Month-to-month,1
8012-SOUDQ,1,43,90.25,3838.75,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,Loyal (>36),High,Month-to-month,Loyal (>36) | High | Month-to-month,1
